,Emotion,Sentence
1553,Sadness,😭😭😭😭😭😭
206,Fear,tao nhìn sợ vãi
499,Enjoyment,cảm ơn bạn đã yêu đất nước việt nam tôi
737,Other,quan trọng là ông bà nội ngoại bạn phải giàu cái đã
1730,Enjoyment,"chắc ông chồng hạnh phúc lắm khi sống chung với người vợ như vậy , những đứa con chắc cũng yêu mẹ họ lắm ! mà thặc ra là giống với mẹ tớ lắm kkk"
1339,Sadness,ewww mình chẳng giữ được gì huhu
1799,Surprise,vậy cũng được luôn hả ? 😄
921,Enjoyment,"bộ phim này xem rất sướng . và rút ra được khám phá là thứ tuyệt vời nhất chứ không phải bằng cấp . giá như mấy ông "" bộ "" và mấy ông "" ngành "" dành thời gian xem phim này một lần ."
520,Sadness,xem không dưới 3 lần chia sẻ không dưới 2 lần nhưng mỗi lần nhìn thấy lại xem lại buồn
265,Disgust,bây giờ gái nó chỉ cần bông hoa đồng tiền ném vào mặt nó để nó ăn tiêu chứ nó cần gì cái cây lu miên này .
1250,Disgust,"mút này mình xịt nước cho nó mềm ra , lấy chổi đùa đùa lại quét tới lúc nghỉ việc luôn quét cũng chưa xong nha , thứ nl"
1186,Sadness,và hơn hết là tụi nó không còn coi mình là con gái nữa
480,Anger,moẹ thấy u ám hơn thì có . dume 💩
193,Fear,hú hồn lon vẫn còn
452,Sadness,"một lúc nào đó chúng ta sẽ không nói chuyện nữa , lúc đó có lẽ em thật sự đã buông bỏ được rồi ..."
665,Disgust,hẳn là thần tài . mê tín vãi
1744,Disgust,bớt chọc điên tao và bớt leo lên đầu tao ngồi 🙂 hãy để yên cho tao hiền 🙃
1161,Enjoyment,per kỷ niệm khó quên nhỉ kkk
1421,Disgust,địt mẹ hoang đường !
1535,Disgust,"cô giáo chủ nhiệm hơi bị khốn nhỉ ? cô như vậy thì học sinh sao này học theo cái tính tráo trở , hai mặt"
1016,Other,xin chúa thương xót chúng con
798,Sadness,lâu quá mới nghe lại bài này buồn thế
345,Enjoyment,rất thuyết phục
277,Other,mình hỏi mua rồi mà người ta kiểu nữa muốn bán nữa không bạn
714,Sadness,buồn nhất là crush cũng chả có để mà thả 😞
1793,Surprise,"ồ ! thật là bất ngờ , thật là thú zị , thật là liên quan ?"
209,Enjoyment,per anh tải cái này về cho per học nè . thú vị ghê
375,Enjoyment,per làm gì quên được kkkkk
933,Other,nhìn thế thôi nhưng làm được video như này cũng khó lắm hay phết 🙂
124,Disgust,hợp lớp cái đéo gì được chục thằng = )
1243,Disgust,ủa vậy phạm tội thì có ẩn danh không ? :)) ngộ àh
704,Enjoyment,lấy vợ xong anh có vẻ mũm mĩm nhỉ :333
749,Enjoyment,dỗ lại dễ thôi mà . nhỉ nhỉ 🤣🤣🤣
1516,Anger,cho tao hỏi mấy con súc vật tụi bây cười cái gì dzậy ? chắc tụi mày phải bị gậy vụt vào mõm thì mới hết dám ngẩng mặt nhìn đời phải không ?
448,Other,bạn nào cần bạn thân là con trai không :))
1590,Sadness,tao bị quỳ cột cờ mới ác . cả trường biết mặt luôn . nhục vãi
545,Enjoyment,tao đã đóng dấu cấm đứa nào rớ vào =))))
488,Anger,"dm tuổi thơ tao lại toàn ba thằng hãm lol , độc chép bài .... đùa đùa đéo cho chép chúng nó chửi sấp mặt luôn ☹️"
1222,Anger,và thế đéo nào chúng nó toàn gọi mình là thằng 😏😏😏
1006,Disgust,khôn lõi đời à ? chừa này
195,Other,cũng chỉ là tạm thời . chỉ khi nào nguồn nước bẩn thôi đổ vào sông thì mới đảm bảo được .
428,Enjoyment,per ru con để vợ đắp mặt nạ kìa ?? đúng là chồng người ta chưa bao giờ làm mình thất vọng ??
863,Other,"thật thà vãi , mà tao chỉ thích ăn xoài chua ."
473,Other,per vẩy cật lực luôn =))
1083,Disgust,sao toàn gái ngành với bọn chủ tịch bình luận không vậy 🙂
729,Other,đây còn hơn cả vua . giàu mà nghĩ lớn làm lớn .
1921,Surprise,bất ngờ thiệt :))))
194,Enjoyment,"đang ỉa xem cười như điên , kkk"
1460,Sadness,nghiệt ngã hơn là phi hành gia đéo tuyển mấy đứa lùn :((
578,Anger,con mụ mất dạy . già mà lăng loàn . thấy người ta yếu thế hơn mà khôg giúp dựng cái xe dậy rồi nói với nhau vài câu tử tế . lại còn tỏ nguy hiểm định ăn cức người ta ak
1388,Enjoyment,thiếu cái que chấm dầu là ổn 😂
1425,Sadness,bình thương tao hay cười lắm . nhưng khi tức tên ... tao lại khóc . quá yếu đuối
33,Fear,ăn ngon nhưng nóng không chịu được
341,Fear,vừa đây về đông kinh hồn càng về đêm càng đông
972,Other,per tổ đội đánh rắm vào mà xem
1182,Other,bếp thiiêu chân mày
876,Disgust,con người ta giỏi nhất là ảo tưởng vị trí của mình trong lòng người khác 🙃
973,Disgust,"đúng là tuổi tác nó không chứng minh được gì cả , già rồi ăn nói không văn hoá cử chỉ hành động tục tĩu hết nói nỗi"
242,Fear,ra vậy . nguy hiểm thật :(((
1081,Sadness,per hết tiền thật sự :(
1619,Enjoyment,nóng quá nên đổ lên cho mát thôi mà :))
744,Enjoyment,cưng quá :)))
928,Other,lỗi của lái tàu nhé
1150,Disgust,ai cũng bận cả và không ai rảnh rỗi ngày ngày quan tâm bạn đâu ?
852,Disgust,nuôi con chó mà để ve thế không thấy tởm nhỉ ?
1571,Enjoyment,tuổi trẻ tài cao vãi
988,Other,vô duyên và hài hước nó có 1 làn ranh giới mỏng manh vãi
774,Disgust,đứng xa ra thì dễ dàng rồi =)) cái ngu ở đây là không viết được nhưng vãn cố chấp thôi =))
735,Sadness,xui thôi chứ quyền đang hay mà 😢
1766,Enjoyment,công an béo như lợn không đuổi nổi tội phạm 😂😂
1530,Sadness,nhưng tôi đéo có bạn trai thì phải làm sao ?
883,Sadness,nhìn cái ngành gd việt nam bây giờ ai cũng mệt mỏi
1919,Disgust,"đó tao đi học tới 12 , mà dô lớp lì vẫn bị thầy cho nằm úp trên bàn trước lớp , kéo tà áo dài lên rồi đập cho mấy cây . giờ quánh thì không cho ( trừ mấy thầy cô yêuc quái cho mấy trăm cái bạt tai thì không tính ), phạt quỳ thì cũng lên báo . thua luôn ."
1719,Enjoyment,cái gì mà rớt hột le tè vậy em gái 😁😁😁
642,Other,per trước cái thời ở trọ nè anh
98,Fear,sợ vãi =)))
736,Enjoyment,lãng mạn vãi_chưởng =)))))) 0
535,Anger,per tao tán sấp mặt
1944,Disgust,việc làm và ý thức của những cổ động viên kém quá . mất hình ảnh bóng đá per còn mất 1 tỷ tiền phạt .
228,Other,sao nhìn nó đấm đéo có lực gì hết nhỉ
1318,Sadness,mình bị say xe bạn à :(((
1848,Enjoyment,per haha cái t2 hợp với em nè ;))
1335,Sadness,vậy là thế giới mất đi không biết bao nhiêu món nướng rồi :(
1607,Enjoyment,nói thật :)) tao chỉ buồn cười khi chúng nó chia tay thôi :))
1627,Surprise,kết thúc phim bất ngờ quá
1498,Sadness,"mới xem 1 đoạn xíu này mà cũng khóc hết hơi , nhìn em bé mất bố mà quay ra nhìn lại con mình đỏ hỏn nằm bên cạnh , thấy thương quá 😭"
1716,Disgust,xứng đáng cho cái ngu của thằng oto .. nghiền nát luôn oto càng tốt .. để cho cái lũ não ngắn nó hiểu được quy định của hành lang đường sắt là như nào .
1566,Enjoyment,ơ cưng < 3 < 3
156,Other,nếu câu chuyện này được liệt kê vào danh sắc câu chuyện cảm động nhất trường thì câu chuyện của thư sẽ được liệt vào đâu đây 😂😂😂 per
1174,Sadness,"tại giống nhau quá , nhưng đừng như người ta nha , nghĩ đến tự tử các thứ chẳng có gì là hay cả"
1590,Disgust,còn trẻ trâu lắm cả hai đứa
1046,Other,"mong là nước pháp sẽ tập trung xây dựng ổn định trong nước , và đừng đụng chạm tới nước khác nữa"
486,Other,ngắn gọn thôi : thế bây giờ mày muốn tao dỗ hay là tao giỗ :v
1759,Enjoyment,tao thích con bé nuốt chuối
1323,Enjoyment,ng ta nuôi vì niềm đam mê
892,Other,trường mình chị lao công đóng cửa :((
1097,Disgust,thính đấy đừng dính . vì 1 ngày nào đấy mày sẽ nhận ra không chỉ mình mày mới được vậy
1687,Enjoyment,nước ngoài có đầy mà :))
651,Enjoyment,bô ̣ phim khiến bọn sinh viên có lí do để lười học theo li ́ thuyết là đây 😆
16,Fear,hơn cả bộ phim kinh dị !
1173,Disgust,nằm ngó miệng kiểu đó ai dám ăn ??????
1616,Enjoyment,cả một bầu trời đáng yêu :)))))
1048,Sadness,hic hic mình còn chả bao giờ được giận lại ấy chứ :((
693,Enjoyment,còn người yêu tao : một hơi có một anh đẹp trai bay lơ lửng rồi ôm lấy em khi em tắm :(((
823,Enjoyment,nó sẽ thì thầm tai mày “ dượng đây “ 🤣🤣
1748,Enjoyment,tập có lỗi với thằng quay phim mà tao xem ba lần tao vẫn cười đứt ruột
504,Sadness,xem xong video tự thấy mình còn không bằng con chó ...
1567,Disgust,tóm lại là giá trị của anh đéo bằng 1 cái bánh :<
188,Sadness,cay mắt
229,Disgust,đánh cho lắm đéo thấm miếng nào khi main chỉ hất mông 1 phát bay mất tiêu :))
1451,Disgust,thằng kia cute đáng yêu mà cái con ý nó xấu z trời haha
364,Fear,dume đêm ròii =))) tao cười vãi tí hàng xóm qua đánh bỏ mẹ
1891,Surprise,sao cái gì em cũng biết vậy :)))
620,Other,per đúng là như thế
1032,Enjoyment,công nhận ngầu thật
478,Other,tình yêu đâu phân biệt là gay hay không gay vì đó là sự lựa của con tim mà họ đã nhắm tới !.
758,Disgust,dhs nhìn thằng đầu tiên trông ớn vãi :| chị em bg thích style lạ ghê ta :| bá khí ????
241,Other,môi trường làm việc là yếu tố quyết định
862,Sadness,nhớ lắm .. cay mắt lắm ....
65,Enjoyment,ph :)) phê hơn cả cần nhé . nên mua cái này về dùng tốt cho chó và người :)))
1363,Sadness,mất rồi có lấy lại được đâu :)) cái gì nó cũng chỉ là quá khứ
307,Disgust,đéo mang não ... tay lại nhanh hơn não rồi ..
666,Sadness,ước gì được giận lại 😐
1544,Sadness,nó bỏ mình đi rồi mỗi lần nghĩ tới nó ôi sao mà xót tim gan hơn mất người yêu
1379,Sadness,ngày cuối cùng thực sự buồn
921,Sadness,nếu là tao thì tao sẽ không ăn được miếng nào
1878,Disgust,bọn rải đinh nó đéo biết xe đi nhanh mà bị xì lốp thì như thế nào ??? 😣😣😣 não lol
768,Sadness,ngoài ra còn một số cái buồn nữa . không giải quyết kịp thời thì ??
1415,Enjoyment,nghe nói dạo này bạn dưỡng da để kiếm người yêu per
408,Other,"em đi xe đạp , có gửi bao giờ đâu mà biết bác ơiii"
757,Enjoyment,"chuẩn đó , mà quên chưa có người yêu"
449,Sadness,"tập thể năm nay lại làm mình tiếc nuối từ thành viên đến gvcn :,(("
1666,Other,đọc có chỗ vô lí vãi
578,Enjoyment,có khi nào mình thích anh hàng xóm vì mình thích con mèo nhà anh không nhỉ :<
1188,Enjoyment,ờ tao tao thông minh thiệt đã dừng lại đúng lúc
131,Other,nghe ảo ghê nhưng cũng có lý
213,Disgust,"đéo kiếm ra tiền , nấu có 3 bữa cơm với đưa đón con đi học mà còn không xong , chắc để mẹ già làm hộ hay để chồng nó đi kiếm tiền về rồi nó hầu cho"
429,Other,đục khoét tuổi thơ vãi ;)))
998,Disgust,nhiều bạn cứ phán nọ kia nặng lời quá . chỉ là bạn ý có cách bóc phốt duyên dáng và hài hước thôi . chứ đâu có nặng nề như các bác nghĩ ..
155,Other,bảo ba mẹ dẫn đi bác sĩ ngay đi
1036,Enjoyment,ui cưng quá
1134,Enjoyment,không biết s chứ ngày lúc 17t tao đi phục vụ phòng karaoke ... mình tao 2 phòng chạy qua chạy lại mệt quá vì xỉn ... kkk . thế là tao nghỉ trong ngày đầu vào phục vụ karaoke .🤣🤣🤣
1877,Surprise,tôi là ai đây là đâu :v tôi đã làm gì sai :3
103,Fear,nghiệp hơi nặng nha !. làm hết hồn
547,Anger,"mấy thằng ngáo để cho chết mẹ nó đi cho xã hội yên bình , quan tâm làm gì"
1559,Sadness,mình còn chưa kịp đến :((
197,Other,"per tìm tao con nhện này , con này lãng mạn coá"
163,Disgust,vừa mới xem hqua . kết thúc phim nhạt quá 😒😒
1408,Sadness,làm công nhân đã khổ rồi mà tụi nó còn nỡ lòng nào hại người ta nhắn tin
1042,Sadness,mất bà cái tuổi thơ -.-
610,Other,ko những công khai . mà phải cho thi lại . để biết đúng thực lực
6,Anger,đã bảo bố mà mật vụ rồi ! hỏi lằm hỏi lốn
194,Fear,hú hồn hà
691,Other,per bếp ga nha
525,Enjoyment,rảnh rảnh ngồi cưa bàn với cưa cổ thèn ngồi gần mỗi khi nó ghẹo cũng vui ??
682,Enjoyment,per tao thấy tao trong đó ahahahaha
993,Other,ai biết bài nhạc đoạn này không ?
1541,Enjoyment,tao muốn con mèo thôi =))
1267,Sadness,vỡ tan là như thế ấy
99,Other,đúng chất người đẹp mặc rẻ rách cũng đẹp
958,Sadness,"per huhu đúng quá nè :< sư phụ đi rồi , còn per thôi , đừng đi đâu nữa nhaaa 😢"
1147,Sadness,thương quá . géc nhất những người nuôi chó mà không chăm ... tội cho kiếp em nó gặp phải 1 người chủ như vầy . thân thương !
82,Fear,nhìn mà nổi hết da gà
43,Other,hẳn lớp đó nhiều nữ lắm ha
1497,Sadness,ngày tao chia tay tao khóc quá trời luôn
551,Disgust,đứa lồn nào vẽ cái ổ điện thế 😂
1611,Surprise,công tình yêu này nhân viên đông vậy luôn hả ?
942,Sadness,ai giúp bé với hix
1562,Sadness,"200 năm xây dựng , tồn tại 800 năm , thật là tiếc cho nước pháp ."
233,Other,per là ai thế nhỉ cụ :))
608,Enjoyment,đôi khi đi tù chỉ để thoả mãi thú vui
1344,Enjoyment,thô nhưg thật :))
116,Other,nhìn lại giờ đéo biết vì sao ngày xưa mình đỗ đại học
592,Other,đã tìm ra cụ tổ của những chiếc sừng
1489,Sadness,cảm thấy mình thất bại :((
901,Disgust,hãm 1 rổ lồn . chúc mừng bạn đã chọn nhầm người để tâm thự
1120,Disgust,"chân ngắn như tao thêm combo mập nữa thì tao đéo nhaỷ đâu , tao thả mình trôi sông luôn cho lẹ 🙄"
1416,Enjoyment,có người yêu coi bộ cũng vui 🙂
736,Sadness,trong mv mà có tao đứng dưới mưa nữa thì buồn phải biết
1730,Surprise,đi viện thôi mà có cần phải đẹp vậy không
50,Other,"thôi xong nhá , mấy đứa mà xác định làm răng cả đời thì ... tập xác định"
750,Disgust,"thằng chém gió lúc bà ấy đẩy ông ấy vào nhà thương điên ( tâm thần ) sao mày không mở mồm ra nói ....! giờ thì “ gió chiều nào theo chiều ấy ” cho thằng như này nằm ở công ty thì không khác chuột bọ , rắn rết"
806,Disgust,dume thằng ghép nhạc nhé ????????
657,Other,per thay đổi đại từ nhân xưng .
42,Other,"trưa nay nhà em ăn cơm , admin nói với mấy chú truyền hình đừng chiếu tin này lên nha"
1260,Anger,"cụ mua cái đoạn đường này chưa cụ , đg nếu không cấm đỗ xe thì người ta có quyền đỗ thôi , ghét nhất cái kiểu coi lòng đg như nhà mình rồi vừa đỗ cái xe vào là ra chửi . dcm"
1210,Anger,tao mà biết tụi bây là mấy con đĩ nào tao nhổ lông lồn tao lắc hai cái mép lồn chết mẹ tụi bây 🙂
386,Other,ăn nhiều mau khoẻ .. tôm cá ấy mày giàu canxi
37,Enjoyment,có ai xem đi xem lại như tao mà vẫn cười đéo nhặt được mồm không ạ :))
1107,Sadness,nhẹ nhàng bay lên và hạ cánh thất bại do lổi kỹ thuật
938,Disgust,per cái đó là ngu chứ thik đéo gì
630,Sadness,lại thêm một con ngáo bất hạnh
1330,Disgust,"tuổi thơ của tôi toàn gặp những thằng nhỏn mỏ lên chửi nhau , xách giày dí nhau chạy ."
326,Other,sao mày không nghĩ lại thêm 1 thừng bị noá xẻ thịt 🤪🤪🤪
646,Sadness,chỉ biết xem và ngậm ngùi lướt qua
566,Sadness,thật tình là rất xin lỗi anh ở trog video . hi vọng sẽ gặp đuợc anh để xin lỗi và tạ tội với anh . thật ra hộp quà trong video là của con lol per với người yêu nó tặng nhau dịp sinh nhật . híccc
1418,Enjoyment,hihi lâu lắm rùi mới thấy nó
672,Other,chắc gái xấu :p
1905,Disgust,"nếu chấp hành nghiêm chỉnh luật giao thông ai phạt mình được nhỉ . cũng giống như đi học không thuộc bài giáo viên cho 0 ₫ là phải rồi . tất cả là do ý thức con người , đừng đỗ lỗi cho ai . 😑😑"
542,Enjoyment,mình trả phòng là chăn ga gấp gọn gàng . đồ đạc hẳn hoi trả người ta . dù sao mình cũng như người ta bẩn dọn mãi không sạch ai chẳng điên
94,Other,quan trọng phải là thần thái
522,Enjoyment,giọng lại còn ấm nữa chứ ♥️
1387,Disgust,ích kỷ . cứ đường trước cửa là của nhà mình ah mà ra đuổi người ta
1462,Disgust,thằng kia lắm lông quá nha :))
353,Anger,per anh ơi mua đập 1 phát vào mặt tụi chê mình đi anh
1347,Sadness,gần nhà tao lại chẳng còn sót lại anh nào huhu
87,Fear,khi tắt đi mới thấy ngạt thở .
1927,Enjoyment,ra sông mò đồng xu cùng ông anh hàng xóm được khoản kếch xù :)))
1728,Disgust,tưởng khoe người yêu
10,Other,quán tao vỡ sụp xuống hơn mưa
1523,Sadness,bộ phim đầu tiên làm tao khóc thành tiếng
50,Fear,"hồi xưa vào trông nhà cho ông bà , thuê đĩa võ thuật này xem cho mạnh mé đỡ sợ mà thuê ngay đĩa này . ám ảnh quả nhạc tao tao téo vãi"
1588,Sadness,ừ thì là chuyện cổ tích . cháu đang đi đường thẳng gặp mấy chú thì phải rẽ ngang . 😢😢
534,Anger,heo vàng cái lol . toàn bịp nhau . má nó gắp heo vàng 20 lần trúng mà nó toàn được tặng 6sms miễn phí rồi thì thêm 1 lượt gắp
321,Disgust,quả cr7 mà kill đéo gì nhỉ
383,Disgust,cay cái ông chụp ảnh chụp góc nào cho ông ý bớt khổ đi được không
426,Anger,nhà nào nuôi nó mà ác thế
1135,Sadness,mỗi lần quyết tâm bỏ mà lại thấy cười . đm đời
934,Disgust,con này tuổi gì với con nhái với con thằn lằn :))) per
123,Surprise,wtf nắng rồi mà @@
1401,Disgust,cái tội sờ mông người ta ??
863,Sadness,nhưng nó sẽ to và rộng ra :(
1304,Disgust,tao đéo thấy nó hay trỗ lào mà bọn nó cuồng vãi
1063,Enjoyment,ny tao đbh dỗi . chọc kiểu gì cũng không dỗi . đáng yêu vãi 😂
1919,Enjoyment,không phải thích của cải mà là thích ý chí của họ . đàn ông có chí tiến thủ bao giờ cũng quyến rũ
873,Other,ước mơ là không cần học cũng giỏi
1165,Sadness,""" học từ bỏ những thứ trời không cho "" nói thì dễ nhưng nhiều lúc quyết tâm lắm vẫn không làm được .. 😢😢😢"
399,Other,"quê tao mà , tao nhìn 1 cái là biết ngay"
138,Fear,từ lúc đấy tao không ăn được các loại thịt ngan - ngỗng - vịt lun 😞 ám ảnh vãi
1033,Other,per ai củng đi mà đem về như tao thì không cần phải có công nhân vệ sinh rồi
119,Disgust,gớm quá . nhớ lại lúc còn đạp xe đi học cán qua mấy lũ nay kêu bốp bốp rợn hêt cả da gà da vịt 🤢🤢🤢🤢
1446,Sadness,cũng muốn vứt giày cũ nhưng lại không có tiền mua giày mới . đành chấp nhận đau chân vậy
40,Fear,"mong là bố mẹ mình không đọc được tin này , sợ vãi"
240,Fear,sợ vãi
513,Enjoyment,đi cho vui chứ chả mua sắm gì :)))) người every where
438,Sadness,"thà biết rồi đau 1 lần cho tởn rồi thôi , chứ đừng để nỗi đau cứ day dẳn giằng xé mãi cả đời ☻"
610,Anger,còn không ngồi xuống dọn phụ em nó mà ngồi bấm điện thoại
1486,Enjoyment,"t nghe nói : đi tập gym sẽ có người yêu ...! awwww . điều đó không sai , điều đó là có thật 😂😂😂"
796,Enjoyment,"per 2 con hay cap màn hình nhất thế giới , nói chuyện với nhau toàn cười ỉ 🙄🙄🙄"
1062,Other,thực tế thì con gái sẽ gục ngã trước một người đàn ô hài hước hơn là điển trai
1595,Sadness,gáy sớm để làm gì cơ chứ haizz
1656,Surprise,vậy bỏ tiền mua cái máy tính đó để chi ta ???
1636,Enjoyment,đẻ sao mà cu con đẹp quá vậy trời 😍
283,Other,có bao giờ con sóng không xô vào bờ đâu em ....
1272,Enjoyment,húp trọn sàn nhà 😁😁😁
260,Fear,nguy hiểm lắm
1386,Sadness,nhanh ghê mới đó đã 9 năm rồi 😢
1137,Disgust,thế mà cô yến bị phạt có 5 triệu :v
391,Other,đó là động lực chứ không phải để đem ra so sánh ..
258,Fear,"hòi nhỏ nhà ngoại bị rượt muốn chết , sợ tới giờ 😭😭"
962,Enjoyment,à thì ra là như v =))))
1517,Enjoyment,"muốn hun , muốn ngắt , muốn nhéo , muốn tán vào cái mặt nó ghê , yêu vãi ??????"
1836,Disgust,con mèo đúng là cái đồ đáng ghét
667,Enjoyment,giờ tao mới nhớ tao đã từng :))
1074,Sadness,per chị rep khách hàng thế ấy hả 😞 bị bóc phốt rồi
207,Other,tao mà nhậu xong đi cái đường này xác định
530,Sadness,cũng tên quỳnh nhưng 2 số phận thật khác nhau 😢( chỉ mong được 1 góc nhỏ xiu xíu của b )
221,Other,quan trọng là họ quảng cáo nói có đúng không . hay là được ít năm hỏng thì mệt
632,Enjoyment,cũng may tao là một con đàn ông :))
485,Enjoyment,các anh chị hãy nói với em đó chỉ là diễn xuất mà thôi . và tình yêu như vậy chỉ có trong tiểu thuyết mà thôi .
808,Disgust,đó là đối với mấy đứa hay ảo tưởng mới nghĩ vậy thôi
139,Other,"khi theo đuổi sự ưu tú , sự thành công sẽ theo đuổi bạn"
1615,Surprise,vài chục năm trôi qua mà vẫn chưa đủ tiền mua cái xe máy à
390,Other,cái gì cũng có 2 mặt của nó . làm việc phải nghe bằng 2 tai
1164,Other,vại mà có nhiều người quan niệm quá sai lầm về việc có bạn là con trai .
1071,Other,làm sao bằng chạy xe ôm với bán chổi được ..... nên đừng nói chuyện đến lương .
702,Sadness,"như đi hiến máu chẳng hạn :3 , suýt thì được gặp :("
1614,Disgust,per lại nhặng lên à . cảm thấy trong sạch thì cần gì nhặng lên thế
668,Disgust,vui chơi không an toàn gì cả
890,Enjoyment,rất ghét phim ấn nhưng phải nói phim này hay 👍
898,Sadness,haiz nuôi được nuôi không thì thôi chứ nuôi mà để v coi được haizz
816,Disgust,nó quan tâm mày vì nó muốn mua chuộc mày để tán con bạn thân của mày
1192,Sadness,per eo ôi làm nhớ hồi nhỏ đi học mẫu giáo quá :)))
674,Other,per :v tại nhiều nơi đổ về nên đông lại càng đông . biết lối tắt thì còn đỡ chứ không thì mệt lắm
27,Fear,per sợ ghê bây .
1534,Sadness,đây chính là lý do tao giảm cân toàn thất bại
853,Other,tao đi quài vẫn chưa gặp nhỉ 🙃
854,Disgust,rốt cuộc thằng bé này ở đâu xuất hiện mà có ảnh chế nhiều vậy
1461,Enjoyment,đáng yêu quá mức
1507,Disgust,cô ngu như lợn 😒😒😒
223,Disgust,rốt cục mạnh quá nên nghĩ võ cũng chỉ tăng thêm độ ngầu thôi :))) chủ yếu đối với sai chỉ là một pha sử lý cồng kền :))
238,Enjoyment,chỉ 1 vãi nhỏ th mà niềm vui quá lớn < 3 ^^
139,Enjoyment,cũng may là hết thời đi học rồi .. không lại từ “ con nhà người ta ” nó lại được nhắc liên tục trog bữa ăn hàng ngày 😅
868,Disgust,"chứ sao nữa , làm gì có chuyện người ta đỗ đúng mà lại gây tắc đường . chỉ có những người mắt hay bị ngứa cho rằng sẽ gây tắc đường thôi ạ"
965,Sadness,còn các bạn đặt bánh của mình toàn gửi cho người yêu . chắc câu chuyện này còn buồn hơn :((
88,Enjoyment,tin vui cho bà con nông dân chuân bi vào ngày gặt lúa sắp tới
1366,Enjoyment,em hết ngáo rồi nha =)))
775,Sadness,"mình sợ nhất đến bữa ăn mà bố mình vác cái thớt vào mâm cơm , bố mình biết mình sợ vậy nên mọi chiện giải quyết sau khi ăn cơm xong ,"
1301,Sadness,khuôn mặt đáng thương
698,Disgust,"cái loại lười lao động , vì những người hay lao động tay chân thì họ không bao giờ nuôi được móng tay cả ..."
1676,Other,per mày có bao giờ đi à :> tao cũng đéo
309,Other,chụp rồi có mua giúp ông không ?
526,Other,cái gì nó cũng phải thực tế
753,Sadness,đang trong lớp mà ứa nước mắt
1725,Disgust,"lái tàu quá kém không dừng khẩn cấp . để va chạm thế mà vẫn cố tình chạy , khổ thân chiếc xe ôtô"
669,Enjoyment,kha ́ thông minh :))))
863,Disgust,nó mà có con khác rồi giận lại nó cho cút luôn lại bảo sao ngu :))
441,Enjoyment,a cứ đưa hết lương đây cho em :))) em sẽ cho anh tiền rửa bát
187,Fear,"ám ảnh vãi :)) hồi bé tao với chị tao trên đường đi học về thấy có mấy con ngỗng , thấy hay ra nhìn thử dume xong nó dí tao với chị tao về gần nhà :)))"
30,Other,cắt tóc đi còn đen hơn
1275,Anger,chụy hiền quá mòa ... sao chọc chị điên vậy ... đụ má tụi bây ..
73,Disgust,"mẹ chưa hnao đi làm về sợ vãi như hôm nay 😑 chớp cứ nhằng nhằng 2 bên đường với trước mặt , kinh vãi"
50,Disgust,"thân hình của con người , nhưng đầu óc là con cặc , nên đéo biết nói gì thành phần này"
62,Other,"nghe được đó , ảnh hưởng tới môi trường là phải cấm"
1578,Sadness,không lau sạch về bà chủ mắng thì sao . nhiều người họ kinh lắm . trước mẹ minh đi làm cho nhà 5 tầng . họ chỉ ở 3 tầng còn 2 tầng bỏ không . mà ngày nào cũng phải lau hết
1298,Disgust,cô ấy bảo : đời như lol 🙂
906,Enjoyment,cảm ơn mày đã khai phá cho tao thêm một nét văn hoá đẹp :))
855,Enjoyment,best gái ngành hôm nay đắt hàng
1474,Sadness,đã gặp được em đúng lúc . nhưng lại không phải thời điểm em muốn ....
544,Anger,thằng khốn nạn
1660,Enjoyment,cám ơn mấy chế nhiều nhiều nhé 😗
1110,Disgust,ăn ở như nào mà tới bị con ngáo nó lùa ? =)))))
1675,Disgust,"chúng nó xạo lol vậy thôi chứ lên đại học chúng nó dập nhau như gà , đấy là tao nghe bọn nó nói thế chứ có học đại học đéo đâu mà biết 😕"
772,Other,per nhớ quá trời nhớ luôn nè
430,Enjoyment,per hãy cứ vững tâm tập điều độ rồi sẽ có thôi
1769,Disgust,nửa đêm rồi đứng hò hét vậy mà không bị chửi là sao ta
1494,Disgust,hỏng cả một thế hệ 😔
614,Other,1 nỗ lực lớn thay đổi valentine ... sang năm tao mắc võng .
900,Enjoyment,thôi chết haha ...
1626,Enjoyment,per tìm ông bán xoài này ngay cho em 😂😂😂
1217,Enjoyment,cưng quá
826,Other,em nó phượt theo gái cả đêm
489,Anger,đéo liên quan nhưng đéo mày bữa nay tao đéo đi ỉa vì con củ lol này :)
658,Enjoyment,nhìn ghiền 😘
402,Disgust,đi đường ghét nhất bọn loi choi kiểu này . gặp ngay bác vô lăng cứng tỳ cho phát thế là nhớ đời thằng loi choi .
867,Sadness,"tuổi thơ tao gặp toàn trai bánh bều , mít ướt . toàn là tao galang , dỗ dành . ôi cái cuộc đời này per"
279,Other,mấy thanh niên đi xong về có yêu nhau không nhỉ ?
1129,Enjoyment,nhớ lần nấu cơm thần thánh này không ? per chỉ là mải nghịch nước thôi mà …
1218,Sadness,mình sống không đủ tốt hay sao mà vẫn chưa gặp được anh người yêu tốt như này
1280,Sadness,đúng là càng ngày càng chán . cứ theo luật mà làm thì chán cực kỳ luôn
950,Other,"5 năm thì có vẻ hơi sớm 🤣, tao chỉ ước sau này có người thích được phiêu du như gia đình người ta thôi 😌"
820,Other,liệu có bền lâu
411,Sadness,tại vì anh trót nói lời thương em mà em không đáp lại
423,Sadness,thì đúng là sẽ không buồn vì thất tình nữa :((
